ID,Title,"Post Type",district_code,province_id
1223,"Huyện Kim Thành",district,,365
1224,"Huyện Thanh Hà",district,,365
1225,"Huyện Cẩm Giàng",district,,365
1226,"Huyện Bình Giang",district,,365
1227,"Huyện Gia Lộc",district,,365
1228,"Huyện Tứ Kỳ",district,,365
1229,"Huyện Ninh Giang",district,,365
1230,"Huyện Thanh Miện",district,,365
1231,"Quận Hồng Bàng",district,,366
1232,"Quận Ngô Quyền",district,,366
1233,"Quận Lê Chân",district,,366
1234,"Quận Hải An",district,,366
1235,"Quận Kiến An",district,,366
1236,"Quận Đồ Sơn",district,,366
1237,"Quận Dương Kinh",district,,366
1238,"Huyện Thuỷ Nguyên",district,,366
1239,"Huyện An Dương",district,,366
1240,"Huyện An Lão",district,,380
1241,"Huyện Kiến Thuỵ",district,,366
1242,"Huyện Tiên Lãng",district,,366
1243,"Huyện Vĩnh Bảo",district,,366
1244,"Huyện Cát Hải",district,,366
1245,"Hưng Yên",district,,367
1246,"Huyện Văn Lâm",district,,367
1247,"Huyện Văn Giang",district,,367
1248,"Huyện Yên Mỹ",district,,367
1249,"Huyện Mỹ Hào",district,,367
1250,"Huyện Ân Thi",district,,367
1251,"Huyện Khoái Châu",district,,367
1252,"Huyện Kim Động",district,,367
1253,"Huyện Tiên Lữ",district,,367
1254,"Huyện Phù Cừ",district,,367
1255,"Thái Bình",district,,368
1256,"Huyện Quỳnh Phụ",district,,368
1257,"Huyện Hưng Hà",district,,368
1258,"Huyện Đông Hưng",district,,368
1259,"Huyện Thái Thụy",district,,368
1260,"Huyện Tiền Hải",district,,368
1261,"Huyện Kiến Xương",district,,368
1262,"Huyện Vũ Thư",district,,368
1263,"Phủ Lý",district,,369
1264,"Huyện Duy Tiên",district,,369
1265,"Huyện Kim Bảng",district,,369
1266,"Huyện Thanh Liêm",district,,369
1267,"Huyện Bình Lục",district,,369
1268,"Huyện Lý Nhân",district,,369
1269,"Nam Định",district,,394
1270,"Huyện Mỹ Lộc",district,,394
1271,"Huyện Vụ Bản",district,,394
1272,"Huyện Ý Yên",district,,394
1273,"Huyện Nghĩa Hưng",district,,394
1274,"Huyện Nam Trực",district,,394
1275,"Huyện Trực Ninh",district,,394
1276,"Huyện Xuân Trường",district,,394
1277,"Huyện Giao Thủy",district,,394
1278,"Huyện Hải Hậu",district,,394
1279,"Ninh Bình",district,,392
1280,"Tam Điệp",district,,392
1281,"Huyện Nho Quan",district,,392
1282,"Huyện Gia Viễn",district,,392
1283,"Huyện Hoa Lư",district,,392
1284,"Huyện Yên Khánh",district,,392
1285,"Huyện Kim Sơn",district,,392
1286,"Huyện Yên Mô",district,,392
1287,"Thanh Hóa",district,,384
1288,"Thị xã Bỉm Sơn",district,,384
1289,"Sầm Sơn",district,,384
1290,"Huyện Mường Lát",district,,384
1291,"Huyện Quan Hóa",district,,384
1292,"Huyện Bá Thước",district,,384
1293,"Huyện Quan Sơn",district,,384
1294,"Huyện Lang Chánh",district,,384
1295,"Huyện Ngọc Lặc",district,,384
1296,"Huyện Cẩm Thủy",district,,384
1297,"Huyện Thạch Thành",district,,384
1298,"Huyện Hà Trung",district,,384
1299,"Huyện Vĩnh Lộc",district,,384
1300,"Huyện Yên Định",district,,384
1301,"Huyện Thọ Xuân",district,,384
1302,"Huyện Thường Xuân",district,,384
1303,"Huyện Triệu Sơn",district,,384
1304,"Huyện Thiệu Hóa",district,,384
1305,"Huyện Hoằng Hóa",district,,384
1306,"Huyện Hậu Lộc",district,,384
1307,"Huyện Nga Sơn",district,,384
1308,"Huyện Như Xuân",district,,384
1309,"Huyện Như Thanh",district,,384
1310,"Huyện Nông Cống",district,,384
1311,"Huyện Đông Sơn",district,,384
1312,"Huyện Quảng Xương",district,,384
1313,"Huyện Tĩnh Gia",district,,384
1314,Vinh,district,,391
1315,"Thị xã Cửa Lò",district,,391
1316,"Thị xã Thái Hoà",district,,391
1317,"Huyện Quế Phong",district,,391
1318,"Huyện Quỳ Châu",district,,391
1319,"Huyện Tương Dương",district,,391
1320,"Huyện Nghĩa Đàn",district,,391
1321,"Huyện Quỳ Hợp",district,,391
1322,"Huyện Quỳnh Lưu",district,,391
1323,"Huyện Con Cuông",district,,391
1324,"Huyện Tân Kỳ",district,,391
1325,"Huyện Anh Sơn",district,,391
1326,"Huyện Diễn Châu",district,,391
1327,"Huyện Yên Thành",district,,391
1328,"Huyện Đô Lương",district,,391
1329,"Huyện Thanh Chương",district,,391
1330,"Huyện Nghi Lộc",district,,391
1331,"Huyện Nam Đàn",district,,391
1332,"Huyện Hưng Nguyên",district,,391
1333,"Thị xã Hoàng Mai",district,,391
1334,"Hà Tĩnh",district,,385
1335,"Thị xã Hồng Lĩnh",district,,385
1336,"Huyện Hương Sơn",district,,385
1337,"Huyện Đức Thọ",district,,385
1338,"Huyện Vũ Quang",district,,385
1339,"Huyện Nghi Xuân",district,,385
1340,"Huyện Can Lộc",district,,385
1341,"Huyện Hương Khê",district,,385
1342,"Huyện Thạch Hà",district,,385
1343,"Huyện Cẩm Xuyên",district,,385
1344,"Huyện Kỳ Anh",district,,385
1345,"Huyện Lộc Hà",district,,385
1346,"Thị xã Kỳ Anh",district,,385
1347,"Đồng Hới",district,,396
1348,"Huyện Minh Hóa",district,,396
1349,"Huyện Tuyên Hóa",district,,396
1350,"Huyện Quảng Trạch",district,,396
1351,"Huyện Bố Trạch",district,,396
1352,"Huyện Quảng Ninh",district,,396
1353,"Huyện Lệ Thủy",district,,396
1354,"Thị xã Ba Đồn",district,,396
1355,"Đông Hà",district,,397
1356,"Thị xã Quảng Trị",district,,397
1357,"Huyện Vĩnh Linh",district,,397
1358,"Huyện Hướng Hóa",district,,397
1359,"Huyện Gio Linh",district,,397
1360,"Huyện Đa Krông",district,,397
1361,"Huyện Cam Lộ",district,,397
1362,"Huyện Triệu Phong",district,,397
1363,"Huyện Hải Lăng",district,,397
1364,Huế,district,,401
1365,"Huyện Phong Điền",district,,382
1366,"Huyện Quảng Điền",district,,401
1367,"Huyện Phú Vang",district,,401
1368,"Thị xã Hương Thủy",district,,401
1369,"Thị xã Hương Trà",district,,401
1370,"Huyện A Lưới",district,,401
1371,"Huyện Phú Lộc",district,,401
1372,"Huyện Nam Đông",district,,401
1373,"Quận Liên Chiểu",district,,408
1374,"Quận Thanh Khê",district,,408
1375,"Quận Hải Châu",district,,408
1376,"Quận Sơn Trà",district,,408
1377,"Quận Ngũ Hành Sơn",district,,408
1378,"Quận Cẩm Lệ",district,,408
1379,"Huyện Hòa Vang",district,,408
1380,"Tam Kỳ",district,,372
1381,"Hội An",district,,372
1382,"Huyện Tây Giang",district,,372
1383,"Huyện Đông Giang",district,,372
1384,"Huyện Đại Lộc",district,,372
1385,"Thị xã Điện Bàn",district,,372
1386,"Huyện Duy Xuyên",district,,372
1387,"Huyện Quế Sơn",district,,372
