"ID","Title","Post Type","district_code","province_id"
"1258","Huyện Đông Hưng","district","00242","368"
"1259","Huyện Thái Thụy","district","00243","368"
"1260","Huyện Tiền Hải","district","00244","368"
"1261","Huyện Kiến Xương","district","00245","368"
"1262","Huyện Vũ Thư","district","00246","368"
"1263","TP Phủ Lý","district","00247","369"
"1264","Huyện Duy Tiên","district","00248","369"
"1265","Huyện Kim Bảng","district","00249","369"
"1266","Huyện Thanh Liêm","district","00250","369"
"1267","Huyện Bình Lục","district","00251","369"
"1268","Huyện Lý Nhân","district","00252","369"
"1269","TP Nam Định","district","00253","394"
"1270","Huyện Mỹ Lộc","district","00254","394"
"1271","Huyện Vụ Bản","district","00255","394"
"1272","Huyện Ý Yên","district","00256","394"
"1273","Huyện Nghĩa Hưng","district","00257","394"
"1274","Huyện Nam Trực","district","00258","394"
"1275","Huyện Trực Ninh","district","00259","394"
"1276","Huyện Xuân Trường","district","00260","394"
"1277","Huyện Giao Thủy","district","00261","394"
"1278","Huyện Hải Hậu","district","00262","394"
"1279","TP Ninh Bình","district","00263","392"
"1280","TP Tam Điệp","district","00264","392"
"1281","Huyện Nho Quan","district","00265","392"
"1282","Huyện Gia Viễn","district","00266","392"
"1283","Huyện Hoa Lư","district","00267","392"
"1284","Huyện Yên Khánh","district","00268","392"
"1285","Huyện Kim Sơn","district","00269","392"
"1286","Huyện Yên Mô","district","00270","392"
"1287","Thanh Hóa","district","00271","384"
"1288","Thị xã Bỉm Sơn","district","00272","384"
"1289","Thị xã Sầm Sơn","district","00273","384"
"1290","Huyện Mường Lát","district","00274","384"
"1291","Huyện Quan Hóa","district","00275","384"
"1292","Huyện Bá Thước","district","00276","384"
"1293","Huyện Quan Sơn","district","00277","384"
"1294","Huyện Lang Chánh","district","00278","384"
"1295","Huyện Ngọc Lặc","district","00279","384"
"1296","Huyện Cẩm Thủy","district","00280","384"
"1297","Huyện Thạch Thành","district","00281","384"
"1298","Huyện Hà Trung","district","00282","384"
"1299","Huyện Vĩnh Lộc","district","00283","384"
"1300","Huyện Yên Định","district","00284","384"
"1301","Huyện Thọ Xuân","district","00285","384"
"1302","Huyện Thường Xuân","district","00286","384"
"1303","Huyện Triệu Sơn","district","00287","384"
"1304","Huyện Thiệu Hóa","district","00288","384"
"1305","Huyện Hoằng Hóa","district","00289","384"
