"Phường Xã","province_id","district_id"
"Xã Liên Mạc","347","1032"
"Xã Vạn Yên","347","1032"
"Xã Chu Phan","347","1032"
"Xã Tiến Thịnh","347","1032"
"Xã Mê Linh","347","1032"
"Xã Văn Khê","347","1032"
"Xã Hoàng Kim","347","1032"
"Xã Tiền Phong","347","1032"
"Xã Tráng Việt","347","1032"
"Phường Nguyễn Trãi","347","1033"
"Phường Mộ Lao","347","1033"
"Phường Văn Quán","347","1033"
"Phường Vạn Phúc","347","1033"
"Phường Yết Kiêu","347","1033"
"Phường Quang Trung","347","1033"
"Phường La Khê","347","1033"
"Phường Phú La","347","1033"
"Phường Phúc La","347","1033"
"Phường Hà Cầu","347","1033"
"Phường Yên Nghĩa","347","1033"
"Phường Kiến Hưng","347","1033"
"Phường Phú Lãm","347","1033"
"Phường Phú Lương","347","1033"
"Phường Dương Nội","347","1033"
"Phường Đồng Mai","347","1033"
"Phường Biên Giang","347","1033"
"Phường Lê Lợi","347","1034"
"Phường Phú Thịnh","347","1034"
"Phường Ngô Quyền","347","1034"
"Phường Quang Trung","347","1034"
"Phường Sơn Lộc","347","1034"
"Phường Xuân Khanh","347","1034"
"Xã Đường Lâm","347","1034"
"Phường Viên Sơn","347","1034"
"Xã Xuân Sơn","347","1034"
"Phường Trung Hưng","347","1034"
"Xã Thanh Mỹ","347","1034"
"Phường Trung Sơn Trầm","347","1034"
"Xã Kim Sơn","347","1034"
"Xã Sơn Đông","347","1034"
"Xã Cổ Đông","347","1034"
"Thị trấn Tây Đằng","347","1035"
"Xã Phú Cường","347","1035"
"Xã Cổ Đô","347","1035"
"Xã Tản Hồng","347","1035"
"Xã Vạn Thắng","347","1035"
"Xã Châu Sơn","347","1035"
"Xã Phong Vân","347","1035"
"Xã Phú Đông","347","1035"
"Xã Phú Phương","347","1035"
"Xã Phú Châu","347","1035"
"Xã Thái Hòa","347","1035"
"Xã Đồng Thái","347","1035"
"Xã Phú Sơn","347","1035"
"Xã Minh Châu","347","1035"
"Xã Vật Lại","347","1035"
"Xã Chu Minh","347","1035"
"Xã Tòng Bạt","347","1035"
"Xã Cẩm Lĩnh","347","1035"
"Xã Sơn Đà","347","1035"
