"Quận Huyện","province_id"
"Huyện Nga Sơn","384"
"Huyện Như Xuân","384"
"Huyện Như Thanh","384"
"Huyện Nông Cống","384"
"Huyện Đông Sơn","384"
"Huyện Quảng Xương","384"
"Huyện Tĩnh Gia","384"
"Vinh","391"
"Thị xã Cửa Lò","391"
"Thị xã Thái Hoà","391"
"Huyện Quế Phong","391"
"Huyện Quỳ Châu","391"
"Huyện Kỳ Sơn","391"
"Huyện Tương Dương","391"
"Huyện Nghĩa Đàn","391"
"Huyện Quỳ Hợp","391"
"Huyện Quỳnh Lưu","391"
"Huyện Con Cuông","391"
"Huyện Tân Kỳ","391"
"Huyện Anh Sơn","391"
"Huyện Diễn Châu","391"
"Huyện Yên Thành","391"
"Huyện Đô Lương","391"
"Huyện Thanh Chương","391"
"Huyện Nghi Lộc","391"
"Huyện Nam Đàn","391"
"Huyện Hưng Nguyên","391"
"Thị xã Hoàng Mai","391"
"Hà Tĩnh","385"
"Thị xã Hồng Lĩnh","385"
"Huyện Hương Sơn","385"
"Huyện Đức Thọ","385"
"Huyện Vũ Quang","385"
"Huyện Nghi Xuân","385"
"Huyện Can Lộc","385"
"Huyện Hương Khê","385"
"Huyện Thạch Hà","385"
"Huyện Cẩm Xuyên","385"
"Huyện Kỳ Anh","385"
"Huyện Lộc Hà","385"
"Thị xã Kỳ Anh","385"
"Đồng Hới","396"
"Huyện Minh Hóa","396"
"Huyện Tuyên Hóa","396"
"Huyện Quảng Trạch","396"
"Huyện Bố Trạch","396"
"Huyện Quảng Ninh","396"
"Huyện Lệ Thủy","396"
"Thị xã Ba Đồn","396"
"Đông Hà","397"
"Thị xã Quảng Trị","397"
"Huyện Vĩnh Linh","397"
"Huyện Hướng Hóa","397"
"Huyện Gio Linh","397"
"Huyện Đa Krông","397"
"Huyện Cam Lộ","397"
"Huyện Triệu Phong","397"
"Huyện Hải Lăng","397"
"Huế","401"
"Huyện Phong Điền","401"
"Huyện Quảng Điền","401"
"Huyện Phú Vang","401"
"Thị xã Hương Thủy","401"
"Thị xã Hương Trà","401"
"Huyện A Lưới","401"
"Huyện Phú Lộc","401"
"Huyện Nam Đông","401"
"Quận Liên Chiểu","408"
"Quận Thanh Khê","408"
"Quận Hải Châu","408"
"Quận Sơn Trà","408"
"Quận Ngũ Hành Sơn","408"
"Quận Cẩm Lệ","408"
"Huyện Hòa Vang","408"
"Tam Kỳ","372"
"Hội An","372"
"Huyện Tây Giang","372"
"Huyện Đông Giang","372"
"Huyện Đại Lộc","372"
"Thị xã Điện Bàn","372"
"Huyện Duy Xuyên","372"
"Huyện Quế Sơn","372"
"Huyện Nam Giang","372"
"Huyện Phước Sơn","372"
"Huyện Hiệp Đức","372"
"Huyện Thăng Bình","372"
"Huyện Tiên Phước","372"
"Huyện Bắc Trà My","372"
"Huyện Nam Trà My","372"
"Huyện Núi Thành","372"
"Huyện Phú Ninh","372"
"Huyện Nông Sơn","372"
"Quảng Ngãi","373"
"Huyện Bình Sơn","373"
"Huyện Trà Bồng","373"
"Huyện Tây Trà","373"
"Huyện Sơn Tịnh","373"
"Huyện Tư Nghĩa","373"
"Huyện Sơn Hà","373"
"Huyện Sơn Tây","373"
"Huyện Minh Long","373"
"Huyện Nghĩa Hành","373"
"Huyện Mộ Đức","373"
"Huyện Đức Phổ","373"
"Huyện Ba Tơ","373"
"Huyện Lý Sơn","373"
"Qui Nhơn","380"
"Huyện An Lão","380"
"Huyện Hoài Nhơn","380"
"Huyện Hoài Ân","380"
"Huyện Phù Mỹ","380"
"Huyện Vĩnh Thạnh","380"
"Huyện Tây Sơn","380"
"Huyện Phù Cát","380"
"Thị xã An Nhơn","380"
"Huyện Tuy Phước","380"
"Huyện Vân Canh","380"
"Tuy Hoà","395"
"Thị xã Sông Cầu","395"
"Huyện Đồng Xuân","395"
"Huyện Tuy An","395"
"Huyện Sơn Hòa","395"
"Huyện Sông Hinh","395"
"Huyện Tây Hoà","395"
"Huyện Phú Hoà","395"
"Huyện Đông Hòa","395"
"Nha Trang","387"
"Cam Ranh","387"
"Huyện Cam Lâm","387"
"Huyện Vạn Ninh","387"
"Thị xã Ninh Hòa","387"
"Huyện Khánh Vĩnh","387"
"Huyện Diên Khánh","387"
"Huyện Khánh Sơn","387"
"Huyện Trường Sa","387"
"Phan Rang-Tháp Chàm","393"
"Huyện Bác Ái","393"
"Huyện Ninh Sơn","393"
"Huyện Ninh Hải","393"
"Huyện Ninh Phước","393"
"Huyện Thuận Bắc","393"
"Huyện Thuận Nam","393"
"Phan Thiết","370"
"Thị xã La Gi","370"
"Huyện Tuy Phong","370"
"Huyện Bắc Bình","370"
"Huyện Hàm Thuận Bắc","370"
"Huyện Hàm Thuận Nam","370"
"Huyện Tánh Linh","370"
"Huyện Đức Linh","370"
"Huyện Hàm Tân","370"
"Huyện Phú Quí","370"
"Kon Tum","388"
"Huyện Đắk Glei","388"
"Huyện Ngọc Hồi","388"
"Huyện Đắk Tô","388"
"Huyện Kon Plông","388"
"Huyện Kon Rẫy","388"
"Huyện Đắk Hà","388"
"Huyện Sa Thầy","388"
"Huyện Tu Mơ Rông","388"
"Huyện Ia H' Drai","388"
"Pleiku","383"
"Thị xã An Khê","383"
"Thị xã Ayun Pa","383"
"Huyện KBang","383"
"Huyện Đăk Đoa","383"
"Huyện Chư Păh","383"
"Huyện Ia Grai","383"
"Huyện Mang Yang","383"
"Huyện Kông Chro","383"
"Huyện Đức Cơ","383"
"Huyện Chư Prông","383"
"Huyện Chư Sê","383"
"Huyện Đăk Pơ","383"
"Huyện Ia Pa","383"
"Huyện Krông Pa","383"
"Huyện Phú Thiện","383"
"Huyện Chư Pưh","383"
"Buôn Ma Thuột","405"
"Thị Xã Buôn Hồ","405"
"Huyện Ea H'leo","405"
"Huyện Ea Súp","405"
"Huyện Buôn Đôn","405"
"Huyện Cư M'gar","405"
"Huyện Krông Búk","405"
"Huyện Krông Năng","405"
"Huyện Ea Kar","405"
"Huyện M'Đrắk","405"
"Huyện Krông Bông","405"
"Huyện Krông Pắc","405"
"Huyện Krông A Na","405"
"Huyện Lắk","405"
"Huyện Cư Kuin","405"
"Thị xã Gia Nghĩa","409"
"Huyện Đăk Glong","409"
"Huyện Cư Jút","409"
"Huyện Đắk Mil","409"
"Huyện Krông Nô","409"
"Huyện Đắk Song","409"
"Huyện Đắk R'Lấp","409"
"Huyện Tuy Đức","409"
"Đà Lạt","390"
"Bảo Lộc","390"
"Huyện Đam Rông","390"
"Huyện Lạc Dương","390"
"Huyện Lâm Hà","390"
"Huyện Đơn Dương","390"
"Huyện Đức Trọng","390"
"Huyện Di Linh","390"
"Huyện Bảo Lâm","390"
"Huyện Đạ Huoai","390"
"Huyện Đạ Tẻh","390"
"Huyện Cát Tiên","390"
"Thị xã Phước Long","377"
"Thị xã Đồng Xoài","377"
"Thị xã Bình Long","377"
"Huyện Bù Gia Mập","377"
"Huyện Lộc Ninh","377"
"Huyện Bù Đốp","377"
"Huyện Hớn Quản","377"
"Huyện Đồng Phú","377"
"Huyện Bù Đăng","377"
"Huyện Chơn Thành","377"
"Huyện Phú Riềng","377"
"Tây Ninh","402"
"Huyện Tân Biên","402"
"Huyện Tân Châu","402"
"Huyện Dương Minh Châu","402"
"Huyện Châu Thành","402"
"Huyện Hòa Thành","402"
"Huyện Gò Dầu","402"
"Huyện Bến Cầu","402"
"Huyện Trảng Bàng","402"
"Thủ Dầu Một","375"
"Huyện Bàu Bàng","375"
"Huyện Dầu Tiếng","375"
"Thị xã Bến Cát","375"
"Huyện Phú Giáo","375"
"Thị xã Tân Uyên","375"
"Thị xã Dĩ An","375"
"Thị xã Thuận An","375"
"Huyện Bắc Tân Uyên","375"
"Biên Hòa","406"
"Thị xã Long Khánh","406"
"Huyện Tân Phú","406"
"Huyện Vĩnh Cửu","406"
"Huyện Định Quán","406"
"Huyện Trảng Bom","406"
"Huyện Thống Nhất","406"
"Huyện Cẩm Mỹ","406"
"Huyện Long Thành","406"
"Huyện Xuân Lộc","406"
"Huyện Nhơn Trạch","406"
"Vũng Tàu","379"
"Bà Rịa","379"
"Huyện Châu Đức","379"
"Huyện Xuyên Mộc","379"
"Huyện Long Điền","379"
"Huyện Đất Đỏ","379"
"Huyện Tân Thành","379"
"Quận 1","398"
"Quận 12","398"
"Quận Thủ Đức","398"
"Quận 9","398"
"Quận Gò Vấp","398"
"Quận Bình Thạnh","398"
"Quận Tân Bình","398"
"Quận Tân Phú","398"
"Quận Phú Nhuận","398"
"Quận 2","398"
"Quận 3","398"
"Quận 10","398"
"Quận 11","398"
"Quận 4","398"
"Quận 5","398"
"Quận 6","398"
"Quận 8","398"
"Quận Bình Tân","398"
"Quận 7","398"
"Huyện Củ Chi","398"
"Huyện Hóc Môn","398"
"Huyện Bình Chánh","398"
"Huyện Nhà Bè","398"
"Huyện Cần Giờ","398"
"Tân An","389"
"Thị xã Kiến Tường","389"
"Huyện Tân Hưng","389"
"Huyện Vĩnh Hưng","389"
"Huyện Mộc Hóa","389"
"Huyện Tân Thạnh","389"
"Huyện Thạnh Hóa","389"
"Huyện Đức Huệ","389"
"Huyện Đức Hòa","389"
"Huyện Bến Lức","389"
"Huyện Thủ Thừa","389"
"Huyện Tân Trụ","389"
"Huyện Cần Đước","389"
"Huyện Cần Giuộc","389"
"Huyện Châu Thành","389"
"Mỹ Tho","400"
"Thị xã Gò Công","400"
"Thị xã Cai Lậy","400"
"Huyện Tân Phước","400"
"Huyện Cái Bè","400"
"Huyện Cai Lậy","400"
"Huyện Châu Thành","400"
"Huyện Chợ Gạo","400"
"Huyện Gò Công Tây","400"
"Huyện Gò Công Đông","400"
"Huyện Tân Phú Đông","400"
"Bến Tre","378"
"Huyện Châu Thành","378"
"Huyện Chợ Lách","378"
"Huyện Mỏ Cày Nam","378"
"Huyện Giồng Trôm","378"
"Huyện Bình Đại","378"
"Huyện Ba Tri","378"
"Huyện Thạnh Phú","378"
"Huyện Mỏ Cày Bắc","378"
"Trà Vinh","403"
"Huyện Càng Long","403"
"Huyện Cầu Kè","403"
"Huyện Tiểu Cần","403"
"Huyện Châu Thành","403"
"Huyện Cầu Ngang","403"
"Huyện Trà Cú","403"
"Huyện Duyên Hải","403"
"Thị xã Duyên Hải","403"
"Vĩnh Long","404"
"Huyện Long Hồ","404"
"Huyện Mang Thít","404"
"Huyện  Vũng Liêm","404"
"Huyện Tam Bình","404"
"Thị xã Bình Minh","404"
"Huyện Trà Ôn","404"
"Huyện Bình Tân","404"
"Cao Lãnh","407"
"Sa Đéc","407"
